textId,sourceType,studentId,text,signalType,confidence,severity,requiresReview
TXT-000028,mood_checkin,STU-2026-0001,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.832,low,False
TXT-000029,mood_checkin,STU-2026-0001,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.921,low,False
TXT-000030,mood_checkin,STU-2026-0001,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.932,low,False
TXT-000031,mood_checkin,STU-2026-0001,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.926,low,False
TXT-000032,mood_checkin,STU-2026-0002,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.925,low,False
TXT-000033,mood_checkin,STU-2026-0002,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.809,low,False
TXT-000034,mood_checkin,STU-2026-0002,"Standard school day, revised chapter 4 during the study break.",neutral,0.817,low,False
TXT-000035,mood_checkin,STU-2026-0002,Scored well on the math quiz! Hard work is finally paying off.,positive,0.81,low,False
TXT-000036,mood_checkin,STU-2026-0002,Scored well on the math quiz! Hard work is finally paying off.,positive,0.964,low,False
TXT-000037,mood_checkin,STU-2026-0002,Scored well on the math quiz! Hard work is finally paying off.,positive,0.885,low,False
TXT-000038,mood_checkin,STU-2026-0002,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.88,low,False
TXT-000039,mood_checkin,STU-2026-0002,Regular school day. Completed notes in English and started the math homework.,neutral,0.808,low,False
TXT-000040,mood_checkin,STU-2026-0002,Regular school day. Completed notes in English and started the math homework.,neutral,0.932,low,False
TXT-000041,mood_checkin,STU-2026-0002,Classes went as scheduled. Need to finish history assignment tonight.,neutral,0.842,low,False
TXT-000042,mood_checkin,STU-2026-0002,Regular school day. Completed notes in English and started the math homework.,neutral,0.83,low,False
TXT-000043,mood_checkin,STU-2026-0002,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.91,low,False
TXT-000044,mood_checkin,STU-2026-0002,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.893,low,False
TXT-000045,mood_checkin,STU-2026-0002,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.916,low,False
TXT-000046,mood_checkin,STU-2026-0002,Scored well on the math quiz! Hard work is finally paying off.,positive,0.944,low,False
TXT-000047,mood_checkin,STU-2026-0002,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.903,low,False
TXT-000048,mood_checkin,STU-2026-0002,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.949,low,False
TXT-000049,mood_checkin,STU-2026-0002,Regular school day. Completed notes in English and started the math homework.,neutral,0.902,low,False
TXT-000050,mood_checkin,STU-2026-0002,Scored well on the math quiz! Hard work is finally paying off.,positive,0.825,low,False
TXT-000051,mood_checkin,STU-2026-0002,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.917,low,False
TXT-000052,mood_checkin,STU-2026-0002,Regular school day. Completed notes in English and started the math homework.,neutral,0.817,low,False
TXT-000053,mood_checkin,STU-2026-0002,"Standard school day, revised chapter 4 during the study break.",neutral,0.89,low,False
TXT-000054,mood_checkin,STU-2026-0002,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.922,low,False
TXT-000055,mood_checkin,STU-2026-0002,"Standard schedule today, ate lunch in cafeteria and prepared for tomorrow's lab.",neutral,0.889,low,False
TXT-000056,mood_checkin,STU-2026-0002,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.841,low,False
TXT-000057,mood_checkin,STU-2026-0002,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.936,low,False
TXT-000058,mood_checkin,STU-2026-0002,Classes went as scheduled. Need to finish history assignment tonight.,neutral,0.85,low,False
TXT-000059,mood_checkin,STU-2026-0002,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.893,low,False
TXT-000060,mood_checkin,STU-2026-0002,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.926,low,False
TXT-000061,mood_checkin,STU-2026-0002,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.886,low,False
TXT-000062,mood_checkin,STU-2026-0002,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.935,low,False
TXT-000063,mood_checkin,STU-2026-0002,"Standard school day, revised chapter 4 during the study break.",neutral,0.831,low,False
TXT-000064,mood_checkin,STU-2026-0003,Regular school day. Completed notes in English and started the math homework.,neutral,0.896,low,False
TXT-000065,mood_checkin,STU-2026-0003,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.93,low,False
TXT-000066,mood_checkin,STU-2026-0003,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.883,low,False
TXT-000067,mood_checkin,STU-2026-0003,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.901,low,False
TXT-000068,mood_checkin,STU-2026-0003,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.885,low,False
TXT-000069,mood_checkin,STU-2026-0003,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.936,low,False
TXT-000070,mood_checkin,STU-2026-0003,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.93,low,False
TXT-000071,mood_checkin,STU-2026-0003,"Standard schedule today, ate lunch in cafeteria and prepared for tomorrow's lab.",neutral,0.938,low,False
TXT-000072,mood_checkin,STU-2026-0003,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.878,low,False
TXT-000073,mood_checkin,STU-2026-0003,Regular school day. Completed notes in English and started the math homework.,neutral,0.939,low,False
TXT-000074,mood_checkin,STU-2026-0003,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.89,low,False
TXT-000075,mood_checkin,STU-2026-0003,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.81,low,False
TXT-000076,mood_checkin,STU-2026-0003,"Ordinary day, attended all lectures and submitted the physics lab sheet.",neutral,0.827,low,False
TXT-000077,mood_checkin,STU-2026-0003,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.917,low,False
TXT-000078,mood_checkin,STU-2026-0003,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.951,low,False
TXT-000079,mood_checkin,STU-2026-0003,Scored well on the math quiz! Hard work is finally paying off.,positive,0.951,low,False
TXT-000080,mood_checkin,STU-2026-0003,"The teacher appreciated my project work in front of everyone, feeling very accomplished!",positive,0.823,low,False
TXT-000081,mood_checkin,STU-2026-0003,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.834,low,False
TXT-000082,mood_checkin,STU-2026-0003,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.886,low,False
TXT-000083,mood_checkin,STU-2026-0003,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.95,low,False
TXT-000084,mood_checkin,STU-2026-0003,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.956,low,False
TXT-000085,mood_checkin,STU-2026-0003,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.859,low,False
TXT-000086,mood_checkin,STU-2026-0003,"Nothing notable happened today, routine classes and caught the bus on time.",neutral,0.895,low,False
TXT-000087,mood_checkin,STU-2026-0003,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.988,low,False
TXT-000088,mood_checkin,STU-2026-0003,Scored well on the math quiz! Hard work is finally paying off.,positive,0.981,low,False
TXT-000089,mood_checkin,STU-2026-0003,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.92,low,False
TXT-000090,mood_checkin,STU-2026-0003,Classes went as scheduled. Need to finish history assignment tonight.,neutral,0.937,low,False
TXT-000091,mood_checkin,STU-2026-0003,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.881,low,False
TXT-000092,mood_checkin,STU-2026-0003,"Ordinary day, attended all lectures and submitted the physics lab sheet.",neutral,0.89,low,False
TXT-000093,mood_checkin,STU-2026-0004,I am crying almost every day after classes and I don't have anyone to talk to.,distress,0.776,medium,False
TXT-000094,mood_checkin,STU-2026-0004,Two seniors were trying to pick a fight with me outside the gymnasium.,aggression,0.762,high,True
TXT-000095,mood_checkin,STU-2026-0004,"Feeling severe burnout, no matter how hard I study my grades keep falling.",distress,0.799,medium,False
TXT-000096,mood_checkin,STU-2026-0004,Couldn't sleep all night because I am terrified of failing the physics midterm tomorrow.,anxiety,0.707,low,False
TXT-000097,mood_checkin,STU-2026-0004,Couldn't sleep all night because I am terrified of failing the physics midterm tomorrow.,anxiety,0.756,low,False
TXT-000098,mood_checkin,STU-2026-0004,"Constantly worrying that something terrible is going to happen, can't concentrate on lectures.",anxiety,0.761,low,False
TXT-000099,mood_checkin,STU-2026-0004,I feel sick to my stomach every morning before entering the school gates.,anxiety,0.886,medium,False
TXT-000100,mood_checkin,STU-2026-0004,I have severe panic attacks every Sunday evening thinking about school the next morning.,anxiety,0.775,medium,False
TXT-000101,mood_checkin,STU-2026-0004,I feel sick to my stomach every morning before entering the school gates.,anxiety,0.809,medium,False
TXT-000102,mood_checkin,STU-2026-0004,Persistent teasing and name-calling by seniors during assembly lineup.,bullying_indicator,0.855,high,True
TXT-000103,mood_checkin,STU-2026-0004,A student pushed me hard against the lockers in the hallway and told me to watch my back.,aggression,0.821,high,True
TXT-000104,mood_checkin,STU-2026-0004,He threw his heavy notebook straight at my face when the teacher stepped out.,aggression,0.855,high,True
TXT-000105,mood_checkin,STU-2026-0004,Dreading oral presentations so much that my throat closes up and I feel dizzy.,anxiety,0.9,medium,False
TXT-000106,mood_checkin,STU-2026-0004,"Constantly worrying that something terrible is going to happen, can't concentrate on lectures.",anxiety,0.873,low,False
TXT-000107,mood_checkin,STU-2026-0004,"Left out of every activity during sports period, nobody picks me for their team.",isolation,0.791,medium,1
TXT-000108,mood_checkin,STU-2026-0004,I had to eat lunch in the restroom stall again because nobody would let me sit with them.,isolation,0.881,medium,1
TXT-000109,mood_checkin,STU-2026-0004,Someone cornered me near the staircase and aggressively demanded my lunch money.,aggression,0.833,high,True
TXT-000110,mood_checkin,STU-2026-0004,My heart starts pounding and my hands shake uncontrollably whenever the teacher calls on students.,anxiety,0.834,medium,False
TXT-000111,mood_checkin,STU-2026-0004,"The academic pressure is breaking me down, I feel like I am drowning under the workload.",distress,0.885,medium,False
TXT-000112,mood_checkin,STU-2026-0004,I feel completely overwhelmed by everything right now and I don't know what to do.,distress,0.914,medium,False
TXT-000113,mood_checkin,STU-2026-0004,"I feel like I don't belong here at all, I have zero friends in my section.",isolation,0.825,medium,1
TXT-000114,mood_checkin,STU-2026-0004,"I feel like I don't belong here at all, I have zero friends in my section.",isolation,0.811,medium,1
TXT-000115,mood_checkin,STU-2026-0004,Persistent teasing and name-calling by seniors during assembly lineup.,bullying_indicator,0.909,high,True
TXT-000116,mood_checkin,STU-2026-0004,I have severe panic attacks every Sunday evening thinking about school the next morning.,anxiety,0.75,medium,False
TXT-000117,mood_checkin,STU-2026-0004,"The academic pressure is breaking me down, I feel like I am drowning under the workload.",distress,0.846,medium,False
TXT-000118,mood_checkin,STU-2026-0004,They made a class group chat without me and were making inside jokes about me today.,isolation,0.906,medium,1
TXT-000119,mood_checkin,STU-2026-0004,"Overwhelming nervousness about my exam ranks, I can't keep any food down today.",anxiety,0.919,medium,False
TXT-000120,mood_checkin,STU-2026-0004,I am crying almost every day after classes and I don't have anyone to talk to.,distress,0.824,medium,False
TXT-000121,mood_checkin,STU-2026-0004,"I feel like I don't belong here at all, I have zero friends in my section.",isolation,0.799,medium,1
TXT-000122,mood_checkin,STU-2026-0004,Couldn't sleep all night because I am terrified of failing the physics midterm tomorrow.,anxiety,0.831,medium,False
TXT-000123,mood_checkin,STU-2026-0004,"Left out of every activity during sports period, nobody picks me for their team.",isolation,0.818,medium,1
TXT-000124,mood_checkin,STU-2026-0004,"Everything feels pointless lately, I can barely get out of bed in the morning.",distress,0.869,medium,False
TXT-000125,mood_checkin,STU-2026-0004,I am crying almost every day after classes and I don't have anyone to talk to.,distress,0.918,high,True
TXT-000126,mood_checkin,STU-2026-0004,I have severe panic attacks every Sunday evening thinking about school the next morning.,anxiety,0.9,medium,False
TXT-000127,mood_checkin,STU-2026-0004,"Every time I answer a question in English class, three students mock the way I speak.",bullying_indicator,0.874,high,True
TXT-000128,mood_checkin,STU-2026-0004,I had to eat lunch in the restroom stall again because nobody would let me sit with them.,isolation,0.765,medium,1
TXT-000129,mood_checkin,STU-2026-0004,"I feel like I don't belong here at all, I have zero friends in my section.",isolation,0.815,medium,1
TXT-000130,mood_checkin,STU-2026-0004,Dreading oral presentations so much that my throat closes up and I feel dizzy.,anxiety,0.839,medium,False
TXT-000131,mood_checkin,STU-2026-0004,I feel completely overwhelmed by everything right now and I don't know what to do.,distress,0.939,high,True
TXT-000132,mood_checkin,STU-2026-0004,I was shoved down near the bleachers during recess and threatened not to report it.,aggression,0.902,high,True
TXT-000133,mood_checkin,STU-2026-0004,"Can't focus on anything, feeling hopeless and like I am letting everyone down.",distress,0.892,high,True
TXT-000134,mood_checkin,STU-2026-0004,I feel sick to my stomach every morning before entering the school gates.,anxiety,0.841,medium,False
TXT-000135,mood_checkin,STU-2026-0004,I had to eat lunch in the restroom stall again because nobody would let me sit with them.,isolation,0.836,medium,1
TXT-000136,mood_checkin,STU-2026-0004,"Every time I answer a question in English class, three students mock the way I speak.",bullying_indicator,0.953,high,True
TXT-000137,mood_checkin,STU-2026-0004,My heart starts pounding and my hands shake uncontrollably whenever the teacher calls on students.,anxiety,0.858,medium,False
TXT-000138,mood_checkin,STU-2026-0004,I have severe panic attacks every Sunday evening thinking about school the next morning.,anxiety,0.822,medium,False
TXT-000139,mood_checkin,STU-2026-0004,"Can't focus on anything, feeling hopeless and like I am letting everyone down.",distress,0.893,medium,False
TXT-000140,mood_checkin,STU-2026-0004,My heart starts pounding and my hands shake uncontrollably whenever the teacher calls on students.,anxiety,0.892,medium,False
TXT-000141,mood_checkin,STU-2026-0004,My heart starts pounding and my hands shake uncontrollably whenever the teacher calls on students.,anxiety,0.884,medium,False
TXT-000142,mood_checkin,STU-2026-0004,"Everyone ignored me during the group project discussion, it feels like I'm completely invisible.",isolation,0.907,high,True
TXT-000143,mood_checkin,STU-2026-0004,I have severe panic attacks every Sunday evening thinking about school the next morning.,anxiety,0.774,medium,False
TXT-000144,mood_checkin,STU-2026-0004,"Feeling severe burnout, no matter how hard I study my grades keep falling.",distress,0.975,high,True
TXT-000145,mood_checkin,STU-2026-0004,He threw his heavy notebook straight at my face when the teacher stepped out.,aggression,0.861,high,True
TXT-000146,mood_checkin,STU-2026-0004,I feel sick to my stomach every morning before entering the school gates.,anxiety,0.875,medium,False
TXT-000147,mood_checkin,STU-2026-0004,I feel completely overwhelmed by everything right now and I don't know what to do.,distress,0.87,high,True
TXT-000148,mood_checkin,STU-2026-0004,"I feel like I don't belong here at all, I have zero friends in my section.",isolation,0.834,medium,1
TXT-000149,mood_checkin,STU-2026-0004,My heart starts pounding and my hands shake uncontrollably whenever the teacher calls on students.,anxiety,0.716,low,False
TXT-000150,mood_checkin,STU-2026-0004,Dreading oral presentations so much that my throat closes up and I feel dizzy.,anxiety,0.82,medium,False
TXT-000151,mood_checkin,STU-2026-0004,A group of boys keeps tripping me whenever I walk down the aisle in bus route 4.,bullying_indicator,0.854,high,True
TXT-000152,mood_checkin,STU-2026-0004,"Feeling severe burnout, no matter how hard I study my grades keep falling.",distress,0.905,high,True
TXT-000153,mood_checkin,STU-2026-0004,A group of boys keeps tripping me whenever I walk down the aisle in bus route 4.,bullying_indicator,0.969,high,True
TXT-000154,mood_checkin,STU-2026-0004,"I sit alone every single day in the back row, nobody even says hello.",isolation,0.902,high,True
TXT-000155,mood_checkin,STU-2026-0004,Someone wrote awful rumors about me on the bathroom wall.,bullying_indicator,0.935,high,True
TXT-000156,mood_checkin,STU-2026-0004,"Constantly worrying that something terrible is going to happen, can't concentrate on lectures.",anxiety,0.755,medium,False
TXT-000157,mood_checkin,STU-2026-0004,I was shoved down near the bleachers during recess and threatened not to report it.,aggression,0.901,high,True
TXT-000158,mood_checkin,STU-2026-0004,Dreading oral presentations so much that my throat closes up and I feel dizzy.,anxiety,0.83,medium,False
TXT-000159,mood_checkin,STU-2026-0004,Couldn't sleep all night because I am terrified of failing the physics midterm tomorrow.,anxiety,0.914,medium,False
TXT-000160,mood_checkin,STU-2026-0004,"I sit alone every single day in the back row, nobody even says hello.",isolation,0.784,medium,1
TXT-000161,mood_checkin,STU-2026-0004,I was shoved down near the bleachers during recess and threatened not to report it.,aggression,0.856,high,True
TXT-000162,mood_checkin,STU-2026-0004,"Everything feels pointless lately, I can barely get out of bed in the morning.",distress,0.864,high,True
TXT-000163,mood_checkin,STU-2026-0004,"I feel like I don't belong here at all, I have zero friends in my section.",isolation,0.764,medium,1
TXT-000164,mood_checkin,STU-2026-0004,"I feel like I don't belong here at all, I have zero friends in my section.",isolation,0.887,high,True
TXT-000165,mood_checkin,STU-2026-0004,I feel completely overwhelmed by everything right now and I don't know what to do.,distress,0.922,high,True
TXT-000166,mood_checkin,STU-2026-0004,They took photos of me without permission in class and were laughing about posting them.,bullying_indicator,0.855,high,True
TXT-000167,mood_checkin,STU-2026-0004,I had to eat lunch in the restroom stall again because nobody would let me sit with them.,isolation,0.883,medium,1
TXT-000168,mood_checkin,STU-2026-0004,"I sit alone every single day in the back row, nobody even says hello.",isolation,0.853,high,True
TXT-000169,mood_checkin,STU-2026-0004,"Everything feels pointless lately, I can barely get out of bed in the morning.",distress,0.922,high,True
TXT-000170,mood_checkin,STU-2026-0004,"Everyone ignored me during the group project discussion, it feels like I'm completely invisible.",isolation,0.952,high,True
TXT-000171,mood_checkin,STU-2026-0004,"Everyone ignored me during the group project discussion, it feels like I'm completely invisible.",isolation,0.888,medium,1
TXT-000172,mood_checkin,STU-2026-0004,"Overwhelming nervousness about my exam ranks, I can't keep any food down today.",anxiety,0.786,medium,False
TXT-000173,mood_checkin,STU-2026-0004,"Every time I answer a question in English class, three students mock the way I speak.",bullying_indicator,0.858,high,True
TXT-000174,mood_checkin,STU-2026-0004,I am crying almost every day after classes and I don't have anyone to talk to.,distress,0.857,medium,False
TXT-000175,mood_checkin,STU-2026-0004,"Overwhelming nervousness about my exam ranks, I can't keep any food down today.",anxiety,0.857,medium,False
TXT-000176,mood_checkin,STU-2026-0004,"I feel so exhausted mentally and physically, I just want to disappear for a while.",distress,0.911,high,True
TXT-000177,mood_checkin,STU-2026-0004,They made a class group chat without me and were making inside jokes about me today.,isolation,0.803,medium,1
TXT-000178,mood_checkin,STU-2026-0004,They took photos of me without permission in class and were laughing about posting them.,bullying_indicator,0.861,high,True
TXT-000179,mood_checkin,STU-2026-0004,"The academic pressure is breaking me down, I feel like I am drowning under the workload.",distress,0.907,high,True
TXT-000180,mood_checkin,STU-2026-0004,"Can't focus on anything, feeling hopeless and like I am letting everyone down.",distress,0.942,high,True
TXT-000181,mood_checkin,STU-2026-0004,"Feeling severe burnout, no matter how hard I study my grades keep falling.",distress,0.93,high,True
TXT-000182,mood_checkin,STU-2026-0004,They stole my geometry box and threw it out of the third floor window.,bullying_indicator,0.872,high,True
TXT-000183,mood_checkin,STU-2026-0004,"Everything feels pointless lately, I can barely get out of bed in the morning.",distress,0.932,high,True
TXT-000184,mood_checkin,STU-2026-0004,"Feeling severe burnout, no matter how hard I study my grades keep falling.",distress,0.905,high,True
TXT-000185,mood_checkin,STU-2026-0004,"Every time I answer a question in English class, three students mock the way I speak.",bullying_indicator,0.861,high,True
TXT-000186,mood_checkin,STU-2026-0004,I feel sick to my stomach every morning before entering the school gates.,anxiety,0.803,medium,False
TXT-000187,mood_checkin,STU-2026-0004,"Feeling severe burnout, no matter how hard I study my grades keep falling.",distress,0.877,high,True
TXT-000188,mood_checkin,STU-2026-0004,I had to eat lunch in the restroom stall again because nobody would let me sit with them.,isolation,0.825,medium,1
TXT-000189,mood_checkin,STU-2026-0004,"Left out of every activity during sports period, nobody picks me for their team.",isolation,0.859,high,True
TXT-000190,mood_checkin,STU-2026-0004,"I feel so exhausted mentally and physically, I just want to disappear for a while.",distress,0.853,high,True
TXT-000191,mood_checkin,STU-2026-0004,I had to eat lunch in the restroom stall again because nobody would let me sit with them.,isolation,0.918,medium,1
TXT-000192,mood_checkin,STU-2026-0004,"Feeling severe burnout, no matter how hard I study my grades keep falling.",distress,0.96,high,True
TXT-000193,mood_checkin,STU-2026-0004,I have severe panic attacks every Sunday evening thinking about school the next morning.,anxiety,0.767,medium,False
TXT-000194,mood_checkin,STU-2026-0005,Regular school day. Completed notes in English and started the math homework.,neutral,0.724,low,False
TXT-000195,mood_checkin,STU-2026-0005,I have severe panic attacks every Sunday evening thinking about school the next morning.,anxiety,0.729,low,False
TXT-000196,mood_checkin,STU-2026-0005,Regular school day. Completed notes in English and started the math homework.,neutral,0.74,low,False
TXT-000197,mood_checkin,STU-2026-0005,Regular school day. Completed notes in English and started the math homework.,neutral,0.748,low,False
TXT-000198,mood_checkin,STU-2026-0005,"Ordinary day, attended all lectures and submitted the physics lab sheet.",neutral,0.906,low,False
TXT-000199,mood_checkin,STU-2026-0005,"Standard schedule today, ate lunch in cafeteria and prepared for tomorrow's lab.",neutral,0.906,low,False
TXT-000200,mood_checkin,STU-2026-0005,Couldn't sleep all night because I am terrified of failing the physics midterm tomorrow.,anxiety,0.781,low,False
TXT-000201,mood_checkin,STU-2026-0005,Couldn't sleep all night because I am terrified of failing the physics midterm tomorrow.,anxiety,0.771,low,False
TXT-000202,mood_checkin,STU-2026-0005,"Really enjoyed chemistry lab today, our titration experiment worked out great!",positive,0.894,low,False
TXT-000203,mood_checkin,STU-2026-0005,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.866,low,False
TXT-000204,mood_checkin,STU-2026-0005,"Ordinary day, attended all lectures and submitted the physics lab sheet.",neutral,0.743,low,False
TXT-000205,mood_checkin,STU-2026-0005,"Normal day, lectures were standard and finished revision during free library period.",neutral,0.737,low,False
TXT-000206,mood_checkin,STU-2026-0005,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.888,low,False
TXT-000207,mood_checkin,STU-2026-0005,I feel sick to my stomach every morning before entering the school gates.,anxiety,0.857,low,False
TXT-000208,mood_checkin,STU-2026-0005,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.888,low,False
TXT-000209,mood_checkin,STU-2026-0005,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.919,low,False
TXT-000210,mood_checkin,STU-2026-0005,Classes went as scheduled. Need to finish history assignment tonight.,neutral,0.815,low,False
TXT-000211,mood_checkin,STU-2026-0005,Regular school day. Completed notes in English and started the math homework.,neutral,0.805,low,False
TXT-000212,mood_checkin,STU-2026-0005,Couldn't sleep all night because I am terrified of failing the physics midterm tomorrow.,anxiety,0.712,low,False
TXT-000213,mood_checkin,STU-2026-0005,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.856,low,False
TXT-000214,mood_checkin,STU-2026-0005,"Standard schedule today, ate lunch in cafeteria and prepared for tomorrow's lab.",neutral,0.818,low,False
TXT-000215,mood_checkin,STU-2026-0005,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.829,low,False
TXT-000216,mood_checkin,STU-2026-0005,"Standard schedule today, ate lunch in cafeteria and prepared for tomorrow's lab.",neutral,0.718,low,False
TXT-000217,mood_checkin,STU-2026-0005,"Normal day, lectures were standard and finished revision during free library period.",neutral,0.701,low,False
TXT-000218,mood_checkin,STU-2026-0005,"Standard school day, revised chapter 4 during the study break.",neutral,0.798,low,False
TXT-000219,mood_checkin,STU-2026-0006,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.827,low,False
TXT-000220,mood_checkin,STU-2026-0006,Scored well on the math quiz! Hard work is finally paying off.,positive,0.933,low,False
TXT-000221,mood_checkin,STU-2026-0006,"Standard schedule today, ate lunch in cafeteria and prepared for tomorrow's lab.",neutral,0.879,low,False
TXT-000222,mood_checkin,STU-2026-0006,"Made great progress on my science project with my team, looking forward to tomorrow.",positive,0.925,low,False
TXT-000223,mood_checkin,STU-2026-0006,"Standard school day, revised chapter 4 during the study break.",neutral,0.821,low,False
TXT-000224,mood_checkin,STU-2026-0006,"Had a great discussion in history class, feeling confident and motivated today.",positive,0.964,low,False
TXT-000225,mood_checkin,STU-2026-0006,"Feeling energetic and happy, had a wonderful conversation with my classmates.",positive,0.929,low,False
TXT-000226,mood_checkin,STU-2026-0006,"Had lots of fun during sports period today, feeling refreshed and positive.",positive,0.946,low,False
